"date","Albania","Austria","Belgium","Bulgaria","Croatia","Cyprus","Czechia","Denmark","Estonia","Euro area","European Union (current composition)","Finland","France","Germany","Greece","Hungary","Ireland","Italy","Latvia","Lithuania","Luxembourg","Malta","Montenegro","Netherlands","North Macedonia","Poland","Portugal","Romania","Serbia","Slovak Republic","Slovenia","Spain","Sweden","Turkey","United Kingdom"
1992-08-01,NA,NA,35.8,NA,NA,NA,NA,29.5,NA,45.8,45.5,15.4,59.6,37.5,56.3,NA,48.7,51.5,NA,NA,NA,NA,NA,18.8,NA,NA,34.7,NA,NA,NA,NA,55.2,NA,NA,45.3
1992-09-01,NA,NA,39.3,NA,NA,NA,NA,33,NA,47.9,47.5,15.4,52.4,43.4,54.9,NA,51.9,61.3,NA,NA,NA,NA,NA,17.4,NA,NA,30,NA,NA,NA,NA,50.8,NA,NA,47.9
1992-10-01,NA,NA,50.7,NA,NA,NA,NA,34.5,71.5,52.2,51.8,15.4,52.4,45.4,51.4,NA,57.4,64.7,NA,NA,NA,NA,NA,32.6,NA,NA,22.2,NA,NA,NA,NA,68.4,NA,NA,55.6
1992-11-01,NA,NA,53.8,NA,NA,NA,NA,42,71.5,56.1,55.8,16.1,57.6,51.2,52.2,NA,50.6,63.1,NA,NA,NA,NA,NA,53.6,NA,NA,31.3,NA,NA,NA,NA,68.6,NA,NA,57.5
1992-12-01,NA,NA,50.3,NA,NA,NA,NA,39,71.5,59.8,59.4,16.1,63.7,58.2,51,NA,41,66.4,NA,NA,NA,NA,NA,49,NA,NA,32.3,NA,NA,NA,NA,69,NA,NA,56
1993-01-01,NA,NA,53.8,NA,NA,NA,NA,31,71.5,60.3,59.6,16.1,66.5,58,51.4,NA,45.5,65.4,54,NA,NA,NA,NA,46.6,NA,NA,44.6,NA,NA,NA,NA,68.1,NA,NA,48.7
1993-02-01,NA,NA,59.6,NA,NA,NA,NA,30.5,71.5,61.9,61.2,21.5,64.7,58.3,47.5,62.1,50.9,69,54,NA,NA,NA,NA,63.9,NA,NA,53.2,NA,NA,NA,NA,65.3,NA,NA,56.5
1993-03-01,NA,NA,56.9,NA,NA,NA,NA,30.5,71.5,63.1,62.4,21.5,55.1,65.7,45.5,57.7,52.5,70.8,54,NA,NA,NA,NA,76.4,NA,NA,59.9,NA,NA,NA,NA,63,NA,NA,49.7
1993-04-01,NA,NA,61.3,NA,NA,NA,NA,34,81,54.5,54,21.5,37.8,55.7,43.9,48.8,33.6,68.1,44.5,NA,NA,NA,NA,66.6,NA,NA,59.6,NA,NA,NA,NA,54.8,NA,NA,41
1993-05-01,NA,NA,54.5,NA,NA,NA,NA,26,81,53.7,53,17.9,54.7,57.3,43.7,42,41.4,57.2,44.5,NA,NA,NA,NA,56.3,NA,NA,58.4,NA,NA,NA,NA,40.8,NA,NA,20.5
1993-06-01,NA,NA,54.5,NA,NA,NA,NA,21.5,81,56.8,55.9,17.9,63.6,52.3,45.4,43.9,41.7,60.2,44.5,NA,NA,NA,NA,60.8,NA,NA,63.7,NA,NA,NA,NA,58.1,NA,NA,27.4
1993-07-01,NA,NA,49.4,NA,NA,NA,NA,21.5,81,58.7,57.7,17.9,67.2,59.3,40.3,46.3,43.9,58.8,50,NA,NA,NA,NA,63.7,NA,NA,69.4,NA,NA,NA,NA,50.8,NA,NA,29.3
